wave,tp
   1900.00,0.07410000
   2000.00,0.13000000
   2100.00,0.17550000
   2200.00,0.22520000
   2300.00,0.28010000
   2400.00,0.28550000
   2500.00,0.25260000
   2600.00,0.21040000
   2700.00,0.16970000
   2800.00,0.15560000
   2900.00,0.15570000
   3000.00,0.15560000
   3100.00,0.14600000
   3200.00,0.13490000
   3300.00,0.12490000
   3400.00,0.12040000
   3500.00,0.10800000
   3600.00,0.09230000
   3700.00,0.08870000
   3800.00,0.09170000
   3900.00,0.09180000
   4000.00,0.08920000
   4200.00,0.08560000
   4400.00,0.07960000
   4600.00,0.07360000
   4800.00,0.06910000
   5000.00,0.06270000
   6000.00,0.04270000
   7000.00,0.01800000
   8000.00,0.01490000
   9000.00,0.00700000
  10000.00,0.00140000
